"modelDID","validatorDID","providerDID","evaluationRunId","correctResponse","promptCID","responseCID","promptData","responseData","promptedAt","repliedAt","evaluationDID","score"
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreid6d3ghhn54dh2uvhjs6al7pzjnp2pi2jkdxnqhs2hatke2qnboaa","bafkreihwpkyqvvheyuysdnvf7zg2tqin33uqloly2n4i2jzd2672zprive",,,1744217946581,1744217948532,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreicxeojl4jajj2mj5wku6asyfxizt36klyz4moqscqdjqas4icg57u","bafkreidlepanl425dmi7tnud6cykmfzvlxvrcj35sgxashjztrsvxb4ubu",,,1744217951480,1744217952810,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreig5ba2dqihkraxvdruo7wuc2qfswunbszeikrbxrsuwaqqyawlvgq","bafkreicvtlvnbate2v4v2oijoggn2bnl2skxf2cp4vkzb3xtdkekbd677u",,,1744217955506,1744217957443,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreibh73lhrjw4o2ekdvn5f2c7spyt4noe6xm6cpzeropc5gu5zaohv4","bafkreicexv5omd2hr6xbaypbdj3tt5fzjuo27elzqljtw36iuangh6e4ee",,,1744217958641,1744217959995,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreibjdpnv7hpnnljry4v6e4oity2jibz6t6jj5526ihy5df6m4vebtq","bafkreibthyfb4j4blugo5zk4i476hxet2vwghy564kz3jlxi53lnoamrum",,,1744217961924,1744217962947,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiftutaoleamrbghu2p4c74ebbdqm5lnzursmvdao4bfonkdxesini","bafkreig7pzyokaqvit2igs564zfj4n4j726ex2auodpwfhfnnxnqgmqklq",,,1744217965376,1744217967264,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreif54afilgp77bf6j72g3rs6kfnt3v6ydkesu4cof6mrumheyezumi","bafkreibthyfb4j4blugo5zk4i476hxet2vwghy564kz3jlxi53lnoamrum",,,1744217968737,1744217970760,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreib7mvnfibce4jmtry7fysmna6zfqsf75fkdygoz2ydovp5sboeiam","bafkreig7pzyokaqvit2igs564zfj4n4j726ex2auodpwfhfnnxnqgmqklq",,,1744217972063,1744217973066,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreihb7hzjsddjwqfedxpbvjinwz3e6pllsk5mnh7xdz35noidj3kp5q","bafkreidnuq5zitsjj2ef42npaipzhrwzgmohrkrcqcchcfbjcyffxpivwu",,,1744217975983,1744217976808,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreid5kzvjmnqspow2rnk4b4pbfsze7ny2nfeskl7awplbel4mi7whfu","bafkreifihximzp76hhihdtbrpxpw5f7vy2y4q6xzdemsoh47ufalauemnq",,,1744217978075,1744217979292,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiadiudaij77vvek74li3nxues6gbtepxtkeysxsuqvptmwe36aepq","bafkreig7pzyokaqvit2igs564zfj4n4j726ex2auodpwfhfnnxnqgmqklq",,,1744217980526,1744217981560,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreibv5rula4cicotohwxct5epgpcks5nldmy7fjxq6yogmenluenzgu","bafkreifj6ukwnplhax36u2wvjo455ncj66kvqllffgqoeiqhxcmbem7mla",,,1744217983339,1744217985119,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiae5ntqs6npj2kvuftqwg7sxhu5di4jucszobio5i4mv2yknoy5ka","bafkreicvtlvnbate2v4v2oijoggn2bnl2skxf2cp4vkzb3xtdkekbd677u",,,1744217986852,1744217988033,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreia3uaisjhldv6urvugzt2ccmzydlctkcil5oup2ywhm6zbcrrtkz4","bafkreicexv5omd2hr6xbaypbdj3tt5fzjuo27elzqljtw36iuangh6e4ee",,,1744217989643,1744217991489,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreid2uxg7grtrg7pzfppwe76npopa2g2d7xb2mlfker2hcrgyscgjby","bafkreifihximzp76hhihdtbrpxpw5f7vy2y4q6xzdemsoh47ufalauemnq",,,1744217993487,1744217994490,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiczly3zdon7xtedgclime3mb64t3iayv5jg2qxob7qywgupgltzhi","bafkreifj6ukwnplhax36u2wvjo455ncj66kvqllffgqoeiqhxcmbem7mla",,,1744217995606,1744217996573,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiht4g4nvtrrid3o3tafsgbjmsd7v7gxyh6vodfiank5hg7s325454","bafkreifj6ukwnplhax36u2wvjo455ncj66kvqllffgqoeiqhxcmbem7mla",,,1744217997956,1744217999607,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreih3f7iyemfgrr25rwng3ugdqirvmkn37fmsyygaxedodoiyd4pzt4","bafkreib7hhk4gshfw6oqn2ccyekontcxcwb3x5cojmhl7wq2ahwak5c5im",,,1744218001736,1744218003618,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreic4nua3w4nlf3bgxmom7mhojs7zmmkrkxzidtwb7kxyhvvh4jrk5m","bafkreicvtlvnbate2v4v2oijoggn2bnl2skxf2cp4vkzb3xtdkekbd677u",,,1744218006397,1744218007377,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiakytpjjonzbbpgytwbkiii7alyjjpsjwtbhhmiuszb636urr5eyy","bafkreifihximzp76hhihdtbrpxpw5f7vy2y4q6xzdemsoh47ufalauemnq",,,1744218009571,1744218010601,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiabiskglie7ecqoaa5wievs5ikhkvnsimyd4zdm77tvtebpbcjr5q","bafkreihwpkyqvvheyuysdnvf7zg2tqin33uqloly2n4i2jzd2672zprive",,,1744218012917,1744218014758,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreihxi6bub5jzpiscxlr33lp5utvlsdopbo6y3avjqsyh4mthfnliv4","bafkreicvtlvnbate2v4v2oijoggn2bnl2skxf2cp4vkzb3xtdkekbd677u",,,1744218017335,1744218019055,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiehfrjcgsm2odhyy3r2woawff57dfus3fa6plpxj35zp26mxqv6ea","bafkreibthyfb4j4blugo5zk4i476hxet2vwghy564kz3jlxi53lnoamrum",,,1744218021967,1744218023259,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreie2vt7kwd5q3a5li6tdjd3hotf5wcc4txqqxwg4kkeqv26msyq7sm","bafkreib7hhk4gshfw6oqn2ccyekontcxcwb3x5cojmhl7wq2ahwak5c5im",,,1744218025557,1744218026623,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreigpquxm2hznuudis3vcgqemgablvxdqjxdeqiewgcjwx26kltn7gq","bafkreig7pzyokaqvit2igs564zfj4n4j726ex2auodpwfhfnnxnqgmqklq",,,1744218027638,1744218029500,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreihzrr4c6ghbvkiszgb4x6tvwgjclltzq54xdmtkhjsq2gexsphxcm","bafkreidlepanl425dmi7tnud6cykmfzvlxvrcj35sgxashjztrsvxb4ubu",,,1744218031402,1744218032700,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreihrxlciulxp2dgvukjonqn6elover26goecbbjls5nu5kps7hfzu4","bafkreicexv5omd2hr6xbaypbdj3tt5fzjuo27elzqljtw36iuangh6e4ee",,,1744218034192,1744218036138,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreifbad2omuem7togi2j5xl7kxxfefcppc55edx2qbngpoxgzyjnjie","bafkreihwpkyqvvheyuysdnvf7zg2tqin33uqloly2n4i2jzd2672zprive",,,1744218037703,1744218040680,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiei72dbyqyuftvswqly3etk23cjbg4qte2nf6qaltvbpbimiu43ha","bafkreifihximzp76hhihdtbrpxpw5f7vy2y4q6xzdemsoh47ufalauemnq",,,1744218043204,1744218045091,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreieivphec7fajekkkub3ehsnfcnmozzfiexmwu6mmjkf43f2dq2xfa","bafkreidlepanl425dmi7tnud6cykmfzvlxvrcj35sgxashjztrsvxb4ubu",,,1744218046919,1744218048951,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreigbvi5bqlf2airbilnzcmzmg6szmeuqez23vxsrj2n7fpwc7eiycu","bafkreig7pzyokaqvit2igs564zfj4n4j726ex2auodpwfhfnnxnqgmqklq",,,1744218049962,1744218051923,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreidezwkya6fjk7f4kfhyswrmoccmv22d7xsg6vakdvw526sui6jupi","bafkreidlepanl425dmi7tnud6cykmfzvlxvrcj35sgxashjztrsvxb4ubu",,,1744218053367,1744218054507,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreiepaarvtglswlljmxg7dxdeij6s5qbe4672g63yczfnyk7tjmrn6a","bafkreib7hhk4gshfw6oqn2ccyekontcxcwb3x5cojmhl7wq2ahwak5c5im",,,1744218056222,1744218058172,"did:eval:multiple-choice",1
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreihnehp3tcknkmp2t2qqozcpi53kbltcjsac7rxijk2lcyfwn36vre","bafkreibthyfb4j4blugo5zk4i476hxet2vwghy564kz3jlxi53lnoamrum",,,1744218060416,1744218062366,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreielwjxy72ftcydoqysnsctrbim3ddzxctscg6dyumm3v6mnjowrci","bafkreihwpkyqvvheyuysdnvf7zg2tqin33uqloly2n4i2jzd2672zprive",,,1744218063833,1744218065271,"did:eval:multiple-choice",0
"did:pb:google/gemini-2.0-flash-lite-001","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","01961b7d-af6e-7128-9fdc-d28764bdc641",,"bafkreichcyb7mcrujc6h24dkik3oic6hspqekfvfetnmxu6k2lrwgwsskm","bafkreicvtlvnbate2v4v2oijoggn2bnl2skxf2cp4vkzb3xtdkekbd677u",,,1744218068070,1744218069789,"did:eval:multiple-choice",0
